iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed
1030,0.03523445,0.03473191,0.034977911,0.916930499,0.912709181,0.91587517,8.488092372
1040,0.035085453,0.034581813,0.03492449,0.917382783,0.913161465,0.914518318,8.567737502
1050,0.035052641,0.034534662,0.034745864,0.91708126,0.913613749,0.914066033,8.648566993
1060,0.035138179,0.034583838,0.035015057,0.918287351,0.914518318,0.914518318,8.729479466
1070,0.034947619,0.034322235,0.034849174,0.916779738,0.916327454,0.911804613,8.80942959
1080,0.034920852,0.034285979,0.034756116,0.917232022,0.917232022,0.913161465,8.889288506
1090,0.034588642,0.033925827,0.034418143,0.916779738,0.916327454,0.911804613,8.970967361
1100,0.034605702,0.033868272,0.034439258,0.916478215,0.917232022,0.91587517,9.050783804
1110,0.033804834,0.033084077,0.033597701,0.916628976,0.919493442,0.916779738,9.131360066
1120,0.033898943,0.033083567,0.033667324,0.917533544,0.921302578,0.916779738,9.212610556
1130,0.033616421,0.032874586,0.033574894,0.91813659,0.917232022,0.910447761,9.292730199
1140,0.033404807,0.032783101,0.033290499,0.917835067,0.917684306,0.913161465,9.373252988
1150,0.033288139,0.0329568,0.033080367,0.919644203,0.922207146,0.917684306,9.45419732
1160,0.034142333,0.034417109,0.034135861,0.916176692,0.916779738,0.916779738,9.534517055
1170,0.033210402,0.033011861,0.032978558,0.918890397,0.920850294,0.919945726,9.615381164
1180,0.033219372,0.032987968,0.033024998,0.919794965,0.920850294,0.918588874,9.695213293
1190,0.032612219,0.032289194,0.032284708,0.921151817,0.92265943,0.919945726,9.794774817
1200,0.032331137,0.032005216,0.032002553,0.920548771,0.92039801,0.922207146,9.875236437
1210,0.032364259,0.032264382,0.031950708,0.921604101,0.919945726,0.922207146,9.955616831
1220,0.032175904,0.031709339,0.031873761,0.921905623,0.919493442,0.920850294,10.03792772
1230,0.032159373,0.031801691,0.031887828,0.921754862,0.919041158,0.921754862,10.11890603
1240,0.032154283,0.031773647,0.031870047,0.922357907,0.919041158,0.922207146,10.19976905
1250,0.032234041,0.031588745,0.031968548,0.921302578,0.921302578,0.919945726,10.28084866
1260,0.032118299,0.031586258,0.031872738,0.921905623,0.919945726,0.921302578,10.36232149
1270,0.032374952,0.032523832,0.032213548,0.921905623,0.922207146,0.92039801,10.44230811
1280,0.031876877,0.03152291,0.031885587,0.923865521,0.920850294,0.920850294,10.52348586
1290,0.031527662,0.031487062,0.031134061,0.925071612,0.92265943,0.925373134,10.60578465
1300,0.031374483,0.031372384,0.031065674,0.924317805,0.921302578,0.924016282,10.68759966
1310,0.03136293,0.031308337,0.031147903,0.923413237,0.921302578,0.923563998,10.76785342
1320,0.031257058,0.031158324,0.031066461,0.925674657,0.922207146,0.92492085,10.87520005
1330,0.031210083,0.031029716,0.031156745,0.924317805,0.921302578,0.921754862,10.96353471
1340,0.030953185,0.030897817,0.030908667,0.924468566,0.921302578,0.924468566,11.04512906
1350,0.030897854,0.030788007,0.030781031,0.92492085,0.921302578,0.924468566,11.12620781
1360,0.030818315,0.030482144,0.030856388,0.925825418,0.921754862,0.92492085,11.20766258
1370,0.030780941,0.030509981,0.030757869,0.92597618,0.923111714,0.92265943,11.28845259
1380,0.030874709,0.030835814,0.030925917,0.925523896,0.92265943,0.921302578,11.36936056
1390,0.030701205,0.030489134,0.030772028,0.926880748,0.92492085,0.924468566,11.44993697
1400,0.031008666,0.030673979,0.031459504,0.923865521,0.92265943,0.920850294,11.5298154
1410,0.030550877,0.030387445,0.030539223,0.92597618,0.921754862,0.92718227,11.6102824
1420,0.03079565,0.030436208,0.030769917,0.923563998,0.92265943,0.923563998,11.6923612
1430,0.030484382,0.030328298,0.030487207,0.925674657,0.922207146,0.926729986,11.77289731
1440,0.030456066,0.030310722,0.030429232,0.926277702,0.922207146,0.926729986,11.85373666
1450,0.03049343,0.030259179,0.030348582,0.924619328,0.923563998,0.923563998,11.93473478
1460,0.030399338,0.030327255,0.030173939,0.925222373,0.923563998,0.926729986,12.0147218
1470,0.03038958,0.030121306,0.030148168,0.926428464,0.924468566,0.92718227,12.09539174
1480,0.030349028,0.030119488,0.030159455,0.924468566,0.922207146,0.92718227,12.17524737
1490,0.030237145,0.030473698,0.030481056,0.92265943,0.92265943,0.92039801,12.25513368
1500,0.030177389,0.030348802,0.030404487,0.922357907,0.921302578,0.920850294,12.33519942
1510,0.030004303,0.030136628,0.030055345,0.920850294,0.921754862,0.921302578,12.41610574
1520,0.029896361,0.029832975,0.029948796,0.924317805,0.924016282,0.921754862,12.49611562
1530,0.029891852,0.029818988,0.02998591,0.924619328,0.92492085,0.924016282,12.57716764
1540,0.029949637,0.02968975,0.030122157,0.924770089,0.925373134,0.925373134,12.65716715
1550,0.029872141,0.029572815,0.03011169,0.924468566,0.925373134,0.924016282,12.73703939
1560,0.030018829,0.029854367,0.030145118,0.925825418,0.92492085,0.926729986,12.81684266
1570,0.029944308,0.029583408,0.030088325,0.925222373,0.926729986,0.92265943,12.89755911
1580,0.029208721,0.029092088,0.028952738,0.925373134,0.92492085,0.928991407,12.98023278
1590,0.029111577,0.028960513,0.028841024,0.925674657,0.925825418,0.928539123,13.06116836
1600,0.029062196,0.029009127,0.028833616,0.926277702,0.925373134,0.928539123,13.14135153
1610,0.028945337,0.029055036,0.028683006,0.926428464,0.924016282,0.929443691,13.2221696
1620,0.028978427,0.02918658,0.028739609,0.927333032,0.924016282,0.929443691,13.30286388
1630,0.028983022,0.029156038,0.02873646,0.926428464,0.924016282,0.927634555,13.38320459
1640,0.029020082,0.029095172,0.028747641,0.925222373,0.923563998,0.92718227,13.46603921
1650,0.028800298,0.028718714,0.028592169,0.926880748,0.925825418,0.928991407,13.5495212
1660,0.029187389,0.029304352,0.028987876,0.925373134,0.92492085,0.926277702,13.63072961
1670,0.028722354,0.028503814,0.028674483,0.924619328,0.926729986,0.92718227,13.71180046
1680,0.028756926,0.028794593,0.02883055,0.926579225,0.924468566,0.928086839,13.79224417
1690,0.028691887,0.028518684,0.028606207,0.926428464,0.925373134,0.92718227,13.87296769
1700,0.028644068,0.028533246,0.028493841,0.926880748,0.92718227,0.928086839,13.95512324
1710,0.028802037,0.029023777,0.028616527,0.923563998,0.921302578,0.919945726,14.0426428
1720,0.028448052,0.02827971,0.028328532,0.926277702,0.926729986,0.92718227,14.12402805
1730,0.02841233,0.028314024,0.028284965,0.927031509,0.92718227,0.927634555,14.2110238
1740,0.028258412,0.027835722,0.028150178,0.926277702,0.925825418,0.925373134,14.2917404
1750,0.028310983,0.027889735,0.028207602,0.924770089,0.925825418,0.925373134,14.37211833
1760,0.028159727,0.027832264,0.02786923,0.9282376,0.925825418,0.928991407,14.45477645
1770,0.028213388,0.028271504,0.02815568,0.926126941,0.923563998,0.926277702,14.53552345
1780,0.02803738,0.02784989,0.027743732,0.92492085,0.925825418,0.928539123,14.61696012
1790,0.02801626,0.027873507,0.027727038,0.925373134,0.926729986,0.928991407,14.69789925
1800,0.028016435,0.027872979,0.027726479,0.925373134,0.926729986,0.928991407,14.77996022
1810,0.027962462,0.027669961,0.027646412,0.927333032,0.926729986,0.931252827,14.8609765
1820,0.028021499,0.027655699,0.027753487,0.926880748,0.928086839,0.931252827,14.94244574
1830,0.027929102,0.027590319,0.027539911,0.928991407,0.927634555,0.929443691,15.02278407
1840,0.027854792,0.027648407,0.027408733,0.927031509,0.92718227,0.930800543,15.10324446
1850,0.027837358,0.027492406,0.027422355,0.928388361,0.92718227,0.932609679,15.18531606
1860,0.027826939,0.027431981,0.027402132,0.928388361,0.92718227,0.932609679,15.26633455
1870,0.02780703,0.027502235,0.027259039,0.9282376,0.925825418,0.932609679,15.34662131
1880,0.027783949,0.027352218,0.02723278,0.926880748,0.926729986,0.932157395,15.42767571
1890,0.027739521,0.02728947,0.027191458,0.927634555,0.92718227,0.930348259,15.5108819
1900,0.027668798,0.027257894,0.027073355,0.927634555,0.928539123,0.929443691,15.5925151
1910,0.027664453,0.027248817,0.02707035,0.927483793,0.928086839,0.930348259,15.68564075
1920,0.027628437,0.027095403,0.027098512,0.927634555,0.928991407,0.930348259,15.77866713
1930,0.027626014,0.027156475,0.027110676,0.928689884,0.931252827,0.929443691,15.86899154
1940,0.027625803,0.027197937,0.027140055,0.929443691,0.932157395,0.931705111,15.95361574
1950,0.027523557,0.027226974,0.027084039,0.927785316,0.928086839,0.927634555,16.04552109
1960,0.027574475,0.027208408,0.0271266,0.928991407,0.929895975,0.929443691,16.13591516
1970,0.027477641,0.027143322,0.027022877,0.929142168,0.929895975,0.929443691,16.2169369
1980,0.027430269,0.027146184,0.026940859,0.928539123,0.928539123,0.931252827,16.3000663
1990,0.027380747,0.026903683,0.026963694,0.929594452,0.931705111,0.933514247,16.39141144
2000,0.02733444,0.026709271,0.026966814,0.928991407,0.931252827,0.933514247,16.47476763
2010,0.027291305,0.026764746,0.026927582,0.929142168,0.931252827,0.929443691,16.56012147
2020,0.027221343,0.026704913,0.02682774,0.928689884,0.928539123,0.930800543,16.64065323
2030,0.027189063,0.026680424,0.026789572,0.929292929,0.929443691,0.932157395,16.73149769
2040,0.027161043,0.02661049,0.026702329,0.928689884,0.929895975,0.930348259,16.82566726
2050,0.027165636,0.026618808,0.026704992,0.928840645,0.929895975,0.931705111,16.91992691
2060,0.027155198,0.026598591,0.026705662,0.928539123,0.929895975,0.930800543,17.00008839
2070,0.027115539,0.026535222,0.026651341,0.928388361,0.929895975,0.929443691,17.08079595
2080,0.027106503,0.026529696,0.026628189,0.928840645,0.931705111,0.930348259,17.17280755
2090,0.02709597,0.026495043,0.026578095,0.929443691,0.932157395,0.932157395,17.26365036
2100,0.027049385,0.026451438,0.026547062,0.931102065,0.933514247,0.932609679,17.35676678
2110,0.026991059,0.026445614,0.026554589,0.931102065,0.933061963,0.931705111,17.43853216
2120,0.02698146,0.026443662,0.026528864,0.931403588,0.933061963,0.932157395,17.52406388
2130,0.02699389,0.026465834,0.026517734,0.930951304,0.932609679,0.931705111,17.60683599
2140,0.027020342,0.026700543,0.026578272,0.929895975,0.929443691,0.932609679,17.70169771
2150,0.026933184,0.026409443,0.026496274,0.931252827,0.933514247,0.935323383,17.78864135
2160,0.026914905,0.026419761,0.026475394,0.930348259,0.932609679,0.931705111,17.8701031
2170,0.026853743,0.026442194,0.026362539,0.932609679,0.933966531,0.934418815,17.95226602
2180,0.026678739,0.026698887,0.026221945,0.931855872,0.933514247,0.933966531,18.03366484
2190,0.026624199,0.026544326,0.026141192,0.934418815,0.936680235,0.936680235,18.12186637
2200,0.026618334,0.026617426,0.026095567,0.93381577,0.937584803,0.936680235,18.20468281
2210,0.026590028,0.026580272,0.02612139,0.933212724,0.935775667,0.936680235,18.28727813
2220,0.026572549,0.026565491,0.026143906,0.933212724,0.935323383,0.936227951,18.38099906
2230,0.026569781,0.026577441,0.026129027,0.933363486,0.935323383,0.936680235,18.47665963
2240,0.02660781,0.026567904,0.026079627,0.931705111,0.932609679,0.935323383,18.57289247
2250,0.026547295,0.026419884,0.026097151,0.931554349,0.935323383,0.935775667,18.66416184
2260,0.026517848,0.026554207,0.026041246,0.931855872,0.933966531,0.935323383,18.76629746
2270,0.026525194,0.026559316,0.025971709,0.931554349,0.933966531,0.934871099,18.86701312
2280,0.026519891,0.026514698,0.026007103,0.931102065,0.932609679,0.932609679,18.96698749
2290,0.026425143,0.026474985,0.025930245,0.933514247,0.935323383,0.932609679,19.05054864
2300,0.026425407,0.026432169,0.02593139,0.932006633,0.934418815,0.933061963,19.13457851
2310,0.026392187,0.026413957,0.025919205,0.933363486,0.936680235,0.933966531,19.21751002
2320,0.026382971,0.026353642,0.025927991,0.933363486,0.936680235,0.935323383,19.3011797
2330,0.026376539,0.026360658,0.025913086,0.93381577,0.937132519,0.935775667,19.38205928
2340,0.026370496,0.02627197,0.026009216,0.93381577,0.937132519,0.934418815,19.47267893
2350,0.026342841,0.026223539,0.025972062,0.933061963,0.935323383,0.933514247,19.57196356
2360,0.026253562,0.026197193,0.025695791,0.934569576,0.936680235,0.935323383,19.66409026
2370,0.026237975,0.026129695,0.02569767,0.934720338,0.936680235,0.933514247,19.75073516
2380,0.026221815,0.026089513,0.025799989,0.93502186,0.937584803,0.934871099,19.84090452
2390,0.026293173,0.026112098,0.025819773,0.934418815,0.938037087,0.936227951,19.92403401
2400,0.026173089,0.026036971,0.02574003,0.934720338,0.936680235,0.935775667,20.0051766
2410,0.026119288,0.025975753,0.02567121,0.933966531,0.934871099,0.933966531,20.11675223
2420,0.026027443,0.025917441,0.025498662,0.934720338,0.936680235,0.935775667,20.22515521
2430,0.02612999,0.025896286,0.02564321,0.93381577,0.935775667,0.934418815,20.33962263
2440,0.026007468,0.025990872,0.025466578,0.93381577,0.933966531,0.934418815,20.42378741
2450,0.025960769,0.026031188,0.025385164,0.933363486,0.933061963,0.934418815,20.56368155
2460,0.026020973,0.026046035,0.025363902,0.934268054,0.937584803,0.935775667,20.65194834
2470,0.025921121,0.026005095,0.025234117,0.933363486,0.935775667,0.935775667,20.73426827
2480,0.02589893,0.025958579,0.025200258,0.932609679,0.933966531,0.935775667,20.81739351
2490,0.025964728,0.02599239,0.025176706,0.931855872,0.932609679,0.935323383,20.89873987
2500,0.025894856,0.025868084,0.025188305,0.933514247,0.934871099,0.935775667,20.98037394
2510,0.025871572,0.025927949,0.025210191,0.933665008,0.934418815,0.936227951,21.19524123
2520,0.025872696,0.025950363,0.02524048,0.933665008,0.934418815,0.933514247,21.31861267
2530,0.025895367,0.025990212,0.025226958,0.933514247,0.934871099,0.934418815,21.43653909
2540,0.025840836,0.025806877,0.02524429,0.934117292,0.935775667,0.935323383,21.59484042
2550,0.025741223,0.025735358,0.025141719,0.93381577,0.935775667,0.933966531,21.69649015
2560,0.025773741,0.025687614,0.025144324,0.933212724,0.937584803,0.936680235,21.78291409
2570,0.025731481,0.025659557,0.025145692,0.932609679,0.936680235,0.934418815,21.89781885
2580,0.025659492,0.025572859,0.025049467,0.933665008,0.938037087,0.935323383,22.03798375
2590,0.025718347,0.025847925,0.025146197,0.934569576,0.933514247,0.935775667,22.18319089
2600,0.025623378,0.025633177,0.025080971,0.933061963,0.935775667,0.936227951,22.26724865
2610,0.025652929,0.025598388,0.025062046,0.936529474,0.939846223,0.940750791,22.350905
2620,0.025617053,0.025595405,0.025055682,0.933514247,0.936227951,0.936227951,22.43768831
2630,0.025586471,0.025484817,0.024932514,0.934117292,0.935775667,0.936680235,22.51851593
2640,0.025573405,0.025522898,0.024913283,0.933212724,0.934418815,0.936227951,22.59903644
2650,0.02562615,0.025579337,0.02491284,0.935323383,0.934418815,0.937132519,22.68245365
2660,0.02556442,0.025530566,0.024974457,0.934117292,0.934871099,0.936680235,22.7626401
2670,0.025560093,0.025523587,0.024927371,0.934720338,0.935323383,0.936680235,22.84432999
2680,0.025623782,0.025664444,0.025203477,0.93381577,0.933966531,0.936227951,22.92446183
2690,0.025525635,0.025451552,0.025249717,0.936227951,0.935775667,0.937132519,23.00558836
2700,0.025532888,0.025496194,0.02516873,0.933966531,0.936227951,0.938489371,23.08630365
2710,0.02547404,0.025440121,0.025033558,0.934117292,0.935323383,0.938489371,23.17022459
2720,0.025463839,0.025361061,0.024989942,0.934268054,0.936680235,0.937132519,23.25166822
2730,0.025468288,0.025345451,0.025075298,0.936227951,0.938941655,0.939846223,23.34116638
2740,0.025763939,0.025907577,0.025277355,0.934418815,0.932157395,0.933966531,23.43157439
2750,0.02543365,0.025413262,0.024932862,0.934268054,0.936680235,0.940298507,23.52884617
2760,0.025453951,0.025499215,0.024905768,0.935926428,0.936227951,0.939846223,23.6272315
2770,0.025427182,0.025405366,0.024974072,0.934720338,0.936227951,0.939846223,23.71905592
2780,0.025601353,0.025494482,0.025092946,0.936680235,0.935775667,0.937584803,23.8082566
2790,0.025420906,0.025370622,0.024947552,0.934268054,0.936227951,0.939846223,23.89755821
2800,0.025508199,0.025483539,0.025075341,0.934117292,0.937132519,0.938489371,23.99817481
2810,0.02541324,0.025402464,0.024960127,0.934117292,0.936680235,0.939846223,24.09243019
2820,0.025413822,0.025358616,0.024994299,0.934418815,0.937584803,0.939846223,24.17948434
2830,0.02547678,0.025409105,0.025110983,0.93502186,0.938037087,0.938037087,24.26062907
2840,0.025452592,0.025478141,0.025177997,0.934720338,0.934418815,0.938037087,24.3463555
2850,0.025442867,0.025592867,0.025049998,0.934569576,0.936680235,0.939393939,24.4310006
2860,0.025283684,0.025285429,0.025038484,0.935624906,0.937584803,0.937584803,24.51456542
2870,0.025316381,0.025442756,0.024723319,0.935172622,0.933966531,0.935323383,24.60680939
2880,0.025327713,0.025496576,0.025020663,0.934418815,0.933514247,0.935775667,24.69537377
2890,0.025251558,0.025387431,0.02483289,0.936227951,0.933514247,0.938037087,24.79388341
2900,0.025190926,0.025329312,0.024618072,0.935926428,0.933966531,0.939846223,24.94724533
2910,0.025229868,0.025400472,0.024598485,0.935775667,0.934418815,0.940298507,25.03179916
2920,0.025151309,0.025228202,0.024642291,0.936830997,0.933966531,0.939846223,25.11449399
2930,0.025147296,0.025181539,0.024592861,0.936227951,0.933966531,0.938941655,25.19610956
2940,0.025253418,0.024975953,0.02485724,0.939243178,0.933966531,0.939846223,25.27661866
2950,0.025098509,0.025074789,0.024583048,0.938037087,0.934418815,0.939846223,25.35837921
2960,0.025093285,0.025054007,0.024583775,0.938187849,0.934871099,0.939846223,25.44037494
2970,0.02518041,0.025492123,0.025066812,0.936830997,0.932157395,0.936680235,25.52130844
2980,0.025014835,0.025070686,0.024810532,0.937886326,0.935775667,0.936680235,25.60290876
2990,0.025148949,0.024894295,0.024836351,0.937584803,0.935775667,0.940298507,25.68525858
3000,0.024972776,0.024941617,0.024678372,0.937434042,0.935323383,0.938489371,25.76558645
3010,0.024903556,0.024846003,0.02455426,0.938941655,0.936227951,0.94165536,25.84721406
3020,0.024894216,0.024957816,0.024610924,0.938037087,0.935323383,0.942559928,25.92860283
3030,0.024913523,0.024881105,0.024485735,0.938790894,0.935323383,0.941203076,26.00960133
3040,0.024871036,0.024900701,0.024454904,0.93833861,0.934871099,0.941203076,26.0896827
3050,0.024840396,0.024957549,0.024532372,0.940298507,0.934418815,0.943012212,26.17131261
3060,0.024844701,0.024977856,0.024528495,0.939846223,0.934418815,0.942559928,26.25210076
3070,0.024837556,0.024996571,0.024555498,0.938640133,0.934418815,0.941203076,26.33229894
3080,0.024898776,0.024830131,0.024550864,0.939996985,0.935323383,0.94165536,26.41221118
