iter,time,reward,steps,convergence
131,3.544238000000144,73.0,29.0,1.815567248139141
132,5.038590000000065,56.0,37.0,1.8058093190105484
133,3.7080910000000245,52.0,41.0,1.8114187746512431
134,4.439956999999994,57.0,36.0,1.9157422261221473
135,4.398405000000105,50.0,52.0,1.8596432148480826
136,8.066292999999947,71.0,31.0,1.9522650740892893
137,9.49702600000002,58.0,44.0,1.9429532107700644
138,4.596119000000121,62.0,40.0,1.8451943004690314
139,2.103369999999938,69.0,33.0,1.8737018549427944
140,4.438015000000073,60.0,42.0,2.019183146395962
141,5.071260999999883,68.0,34.0,2.081153319930361
142,3.130515000000056,63.0,39.0,2.079868917757276
143,2.6035330000000467,64.0,38.0,2.110719990574526
144,6.583983000000071,61.0,41.0,2.037717468080169
145,2.1701830000000477,68.0,34.0,2.0834691959925404
146,4.099336999999981,73.0,29.0,2.0846550468309912
147,2.7021030000000668,65.0,37.0,2.119657269629193
148,2.278435000000023,65.0,37.0,2.086288695993016
149,2.455260999999931,45.0,57.0,2.002109059613114
150,3.669121000000164,63.0,39.0,2.003195704267764
151,1.0792929999998702,69.0,33.0,1.9977064264320952
152,2.9242830000000275,62.0,40.0,1.9841344404411494
153,2.8666749999999297,54.0,39.0,1.9788310915595013
154,2.2861549999999564,60.0,42.0,2.0066983725665493
155,3.1336010000000414,70.0,32.0,2.001225155280647
156,3.6364700000000028,64.0,38.0,1.9545799844748188
157,3.3577229999999236,50.0,43.0,1.8208864853810691
158,1.270233000000065,64.0,38.0,1.9420009412554378
159,1.0018990000000283,72.0,30.0,2.022380444364699
160,2.144936000000097,62.0,40.0,1.9827592781306955
161,2.231861999999918,72.0,30.0,1.9748564638941772
162,5.258092999999908,69.0,33.0,1.888948151818915
163,6.015773999999974,69.0,33.0,1.9377329415834956
164,2.877196999999887,67.0,35.0,1.9471639634330367
165,5.029453000000128,58.0,44.0,1.9123448333281607
166,2.7505850000000276,55.0,38.0,1.9209014402145776
167,3.8153670000000695,64.0,38.0,2.068331719869895
168,1.1590210000000933,58.0,35.0,1.9589069526149743
169,1.2617419999998436,6.0,96.0,1.9083667565269713
170,3.140440000000133,61.0,41.0,1.937527548243421
171,4.117797000000145,71.0,31.0,1.9049925193941761
172,3.0717729999998333,57.0,36.0,1.9650980623853584
173,3.294982000000113,69.0,33.0,1.9712075953115673
174,2.635369000000054,54.0,39.0,1.9515319940969378
175,1.9930209999998727,59.0,43.0,2.010025610670514
176,1.7525009999999064,61.0,32.0,1.9600663661097173
177,2.9598340000001055,60.0,42.0,1.9817242408108853
178,4.355156000000138,69.0,33.0,2.03815601900862
179,2.5234940000000705,68.0,34.0,2.0002669746580457
180,3.037681999999986,57.0,36.0,1.9535557025566626
181,2.0218770000000053,62.0,40.0,1.9955527515607279
182,1.9212060000000086,55.0,47.0,1.994383825725037
183,2.474641000000055,66.0,36.0,1.875756874801045
184,2.8808270000000302,69.0,33.0,1.8878441863575908
185,3.748230000000019,60.0,42.0,1.7926265936085215
186,2.1975149999999832,73.0,29.0,1.8052669047529584
187,1.5598169999999634,35.0,58.0,1.7414613560295202
188,1.5905609999999903,48.0,54.0,1.75943401301176
189,2.0007650000000154,45.0,48.0,1.8907182468382786
190,5.2099580000000145,71.0,31.0,1.8738236994626405
191,3.287397000000025,70.0,32.0,1.8049298545766728
192,2.714765000000119,54.0,48.0,1.8407415727138634
193,2.136813000000126,45.0,48.0,1.855010025989078
194,3.2813720000000046,66.0,36.0,1.8304514545516792
195,3.830503999999957,67.0,35.0,1.8896094717051954
196,8.585931000000047,60.0,42.0,1.9249731700024075
197,5.747641999999997,71.0,31.0,1.882538880800968
198,4.178847999999791,65.0,37.0,1.811878132569619
199,7.020880000000007,67.0,35.0,1.7998650991527803
200,8.756946000000099,55.0,38.0,1.8585037830859215
201,4.134557999999844,57.0,36.0,1.956659795890813
202,11.842725000000165,67.0,35.0,1.9734800231019374
203,15.237873999999874,59.0,43.0,1.9601417926402671
204,4.18481599999998,67.0,35.0,2.0053414803291485
205,7.2324550000000265,65.0,37.0,1.93981822282637
206,8.121855999999816,36.0,48.0,1.9119818839791207
207,5.067657000000114,57.0,45.0,1.9331264038372402
208,14.148993999999915,55.0,47.0,1.9876377071789406
209,4.612678000000203,60.0,42.0,1.9022472906821448
210,8.04621300000008,57.0,36.0,1.8669543348612911
211,10.315896999999907,55.0,38.0,1.8221298078047532
212,6.472274000000056,37.0,47.0,1.7479712388487578
213,15.824108999999975,69.0,33.0,1.8177151856379943
214,5.161068000000046,59.0,43.0,1.7331300633524145
